area,station,component,dateTime,value
Drammen,Backeparken,PM2.5,2020-04-19T00:00:00+01:00,3.1708333333
Drammen,Backeparken,PM2.5,2020-04-20T00:00:00+01:00,4.9363636364
Drammen,Backeparken,PM2.5,2020-04-21T00:00:00+01:00,5.2916666667
Drammen,Backeparken,PM2.5,2020-04-22T00:00:00+01:00,5.075
Drammen,Backeparken,PM2.5,2020-04-23T00:00:00+01:00,3.9041666667
Drammen,Backeparken,PM2.5,2020-04-24T00:00:00+01:00,2.0333333333
Drammen,Backeparken,PM2.5,2020-04-25T00:00:00+01:00,2.1375
Drammen,Backeparken,PM2.5,2020-04-26T00:00:00+01:00,2.8625
Drammen,Backeparken,PM2.5,2020-04-27T00:00:00+01:00,2.7666666667
Drammen,Backeparken,PM2.5,2020-04-28T00:00:00+01:00,2.3
Drammen,Backeparken,PM2.5,2020-04-29T00:00:00+01:00,4.1
Drammen,Backeparken,PM2.5,2020-04-30T00:00:00+01:00,3.6
Drammen,Backeparken,PM2.5,2020-05-01T00:00:00+01:00,1.4583333333
Drammen,Backeparken,PM2.5,2020-05-02T00:00:00+01:00,2.725
Drammen,Backeparken,PM2.5,2020-05-03T00:00:00+01:00,1.2583333333
Drammen,Backeparken,PM2.5,2020-05-04T00:00:00+01:00,0.8833333333
Drammen,Backeparken,PM2.5,2020-05-05T00:00:00+01:00,1.8708333333
Drammen,Backeparken,PM2.5,2020-05-06T00:00:00+01:00,2.45
Drammen,Backeparken,PM2.5,2020-05-07T00:00:00+01:00,5.3791666667
Drammen,Backeparken,PM2.5,2020-05-08T00:00:00+01:00,3.4083333333
Drammen,Backeparken,PM2.5,2020-05-09T00:00:00+01:00,1.9666666667
Drammen,Backeparken,PM2.5,2020-05-10T00:00:00+01:00,1.1208333333
Drammen,Backeparken,PM2.5,2020-05-11T00:00:00+01:00,0.9416666667
Drammen,Backeparken,PM2.5,2020-05-12T00:00:00+01:00,1.4333333333
Drammen,Backeparken,PM2.5,2020-05-13T00:00:00+01:00,1.5541666667
Drammen,Backeparken,PM2.5,2020-05-14T00:00:00+01:00,1.5583333333
Drammen,Backeparken,PM2.5,2020-05-15T00:00:00+01:00,1.6916666667
Drammen,Backeparken,PM2.5,2020-05-16T00:00:00+01:00,1.3083333333
Drammen,Backeparken,PM2.5,2020-05-17T00:00:00+01:00,0.8041666667
Drammen,Backeparken,PM2.5,2020-05-18T00:00:00+01:00,1.0666666667
Drammen,Backeparken,PM2.5,2020-05-19T00:00:00+01:00,1.9583333333
Drammen,Backeparken,PM2.5,2020-05-20T00:00:00+01:00,2.4666666667
Drammen,Backeparken,PM2.5,2020-05-21T00:00:00+01:00,3.9333333333
Drammen,Backeparken,PM2.5,2020-05-22T00:00:00+01:00,5.5041666667
Drammen,Backeparken,PM2.5,2020-05-23T00:00:00+01:00,7.2083333333
